所在页面,字号类别,KW,CN（中文）,EN（英文）,FR（法）,DE（德）,ES（西班牙）,IT（意大利）,PT（葡萄牙）,KO（韩）,JP（日）,RU（俄罗斯）,PL（波兰）,TC（繁）,DA（丹麦）,CZ(捷克),瑞典,挪威,荷兰
首页agnss更新,H3,KW_LAUNCHER_GNSS_EXPIRED_REMINDER,星历已过期，请连接APP/Wi-Fi更新,"Almanac expired, update via APP/Wi-Fi.","L'almanach a expiré, mettez à jour via APP/Wi-Fi.","Almanach abgelaufen, bitte über APP/Wi-Fi aktualisieren.","Almanaque caducado, actualización vía APP/Wi-Fi.","Almanacco scaduto, aggiorna via APP/Wi-Fi.","Almanaque expirado, atualize via APP/Wi-Fi.",알마낙 데이터가 곧 만료됩니다. APP 또는 Wi-Fi를 통해 업데이트하세요.,アルマナックの有効期限が近づいています。APP/Wi-Fiで更新してください。,"Эфемериды устарели, обновите через приложение или Wi-Fi","Almanach wygasł, zaktualizuj przez APP/Wi‑Fi.",衛星資料已過期，請連接APP/Wi - Fi更新,"Almanak udløbet, opdater via APP/Wi-Fi.","Almanach vypršel, aktualizujte přes aplikaci/Wi‑Fi.","Almanackan har löpt ut, uppdatera via APP/Wi-Fi.",GPS-almanakk er utløpt. Oppdater via app/Wi-Fi.,"Almanak verlopen, update via APP/Wi-Fi."
706新首页,,KW_LAUNCHER_OUTDOOR_SCENE,户外骑行,Outdoor Ride,Extérieur​​,Outdoor-Fahrt,Aire Libre,Uscita outdoor,Pedalada ao Ar Livre,실외 라이딩,屋外ライド,На улице,Jazda na zewnątrz,戶外騎乘,Udendørs tur,Jízda venku,Utomhuscykling,Utendørs,Buitenrit
706新首页,,KW_LAUNCHER_INDOOR_SCENE,室内骑行,Indoor Ride,Intérieur,Indoor-Fahrt,Interiores,Uscita indoor,Pedalada Indoor ,실내 라이딩,屋内ライド,На станке,Jazda wewnątrz,室內騎乘,Indendørs tur,Jízda uvnitř,Inomhuscykling,Innendørs,Binnenrit
706新首页,,KW_LAUNCHER_SENSOR_CARD_NO_SENSOR_NOTICE,暂无传感器,No sensors available.,Aucun capteur disponible.,Keine Sensoren verfügbar.,No hay sensores disponibles.,Nessun sensore disponibile.,Nenhum sensor disponível.,사용 가능한 센서가 없습니다.,利用可能なセンサーがありません。,Нет датчиков,Brak dostępnych czujników.,暫無感測器,Ingen sensorer tilgængelige.,Žádné dostupné senzory.,Inga sensorer tillgängliga.,Ingen sensorer tilgjengelige.,Geen sensoren beschikbaar.
706新首页,,KW_LAUNCHER_DYNAMIC_PANEL_TAG_LAST_RIDE,上次骑行,Last Ride,Dernière sortie,Letzte Fahrt,Último paseo,Ultima uscita,Última Pedalada,최근 라이딩,前回のライド,Прошлая поездка,Ostatnia jazda,上次騎乘,Sidste tur,Poslední jízda,Senaste cykelturen,Siste økt,Laatste rit
706新首页,,KW_LAUNCHER_DYNAMIC_PANEL_TAG_NEW_COURSE,新课程,New Workout,Nouvel entraînement,Neues Training,Nuevo entrenamiento,Nuovo allenamento,Novo Treino,새 워크아웃,新ワークアウト,Новая тренировка,Nowy trening,新課表,Ny træning,Nový trénink,Ny träningspass,Ny treningsøkt,Nieuwe training
706新首页,,KW_LAUNCHER_DYNAMIC_PANEL_TAG_NEW_PATH,新路线,New Route,Nouvel itinéraire,Neue Route,Nueva ruta,Nuovo percorso,Nova Rota,새 경로,新ルート,Новый маршрут,Nowa trasa,新路線,Ny rute,Nová trasa,Ny rutt,Ny rute,Nieuwe route
706新首页,,KW_LAUNCHER_DYNAMIC_PANEL_TAG_NEW_SIMULATE_PATH,新模拟路线,New Simulated Route,Nouvel itinéraire simulé,Neue simulierte Route,Nueva ruta simulada,Nuovo percorso simulato,Nova Rota Simulada,새 시뮬레이션 경로,新シミュレーションルート,Новый виртуальный маршрут,Nowa symulowana trasa,新模擬路線,Ny simuleret rute,Nová simulovaná trasa,Ny simulerad rutt,Ny simulert rute,Nieuwe gesimuleerde route
706新首页,,KW_LAUNCHER_DYNAMIC_PANEL_TAG_TODAY_GROUP_RIDE,今日团骑,Today's Group Ride,Sortie de groupe du jour,Heutige Gruppenfahrt,Paseo en grupo de hoy,Corsa in gruppo di oggi,Passeio em grupo de hoje,오늘의 그룹 라이드,今日のグループライド,Сегодняшняя групповая поездка,Dzisiejsza jazda grupowa,今日團騎,​​Dagens gruppetour​,Skupinová jízda dne,Dagens grupptur,Dagens gruppetur,Groepsrit van vandaag
706新首页,,KW_LAUNCHER_MORE_FUNCTIONS,更多功能,More,Plus,Mehr,Más,Altro,Mais,더보기,その他,Меню,Więcej,更多功能,Mere,Více,Mer,Mer,Meer
706新首页,,KW_LAUNCHER_DYNAMIC_PANEL_NO_INFO_NOTICE,暂无动态信息\n可连接APP获取路线、课程、团骑,"No activity updates available.Connect to the app to access routes, workouts, and group rides","Aucune mise à jour d'activité disponible.Connectez-vous à l'app pour accéder aux itinéraires, aux entraînements et aux sorties de groupe","Keine dynamischen Informationen verfügbar. Verbinden Sie sich mit der APP, um Strecken, Trainings und Gruppenfahrten zu erhalten.","No hay actualizaciones de actividad disponibles.Conéctate a la APP para obtener rutas, rutinas y paseos en grupo.","Nessun aggiornamento attività.Connettersi all'APP per ottenere rotte, sessioni di allenamento e corse in gruppo.","Sem atualizações de atividade disponíveis.Conecte-se ao APP para obter rotas, treinos e passeios em grupo.","동적 정보가 없습니다. APP에 연결하여 루트, 운동, 그룹 라이드를 얻으십시오.",アクティビティの更新はありません。アプリに接続してルート、ワークアウト、グループライドを利用してください,"Нет данных об активности. Подключитесь к приложению, чтобы получить маршруты, тренировки и групповые поездки.","Brak dynamicznych informacji. Połącz się z aplikacją, aby uzyskać trasy, ćwiczenia i jazdy grupowe.",暫無動態信息，可連接APP獲取路線、課表、團騎,"Ingen dynamiske oplysninger tilgængelige. Forbind til APP'en for at få ruter, træninger og gruppeture.​","Žádné aktualizace aktivit. Připojte se k aplikaci pro přístup k trasám, tréninkům a skupinovým jízdám.","Inga aktivitetsuppdateringar tillgängliga. Anslut till appen för att komma åt rutter, träningspass och gruppturer","Ingen aktivitetsoppdateringer tilgjengelig. Koble til appen for å få tilgang til ruter, treningsøkter og gruppeturer","Geen activiteitsupdates beschikbaar. Verbind met de app voor toegang tot routes, trainingen en groepsritten"
706新首页,,KW_LAUNCHER_DYNAMIC_PANEL_NO_INFO_NO_TEAM_RIDE,暂无动态信息\n可连接APP获取路线、课程,No activity updates available.Connect to the app to access routes and workouts,Aucune mise à jour d'activité disponible.Connectez-vous à l'app pour accéder aux itinéraires et aux entraînements,"Keine Aktivitätsaktualisierungen verfügbar. Verbinden Sie sich mit der App, um auf Routen und Trainings zuzugreifen.",No hay actualizaciones de actividad disponibles.Conéctate a la app para acceder a rutas y entrenamientos,Nessun aggiornamento attività.Connettiti all'app per accedere a percorsi e allenamenti,Sem atualizações de atividade disponíveis.Conecte ao app para acessar as rotas e treinos,활동 업데이트가 없습니다 앱에 연결하여 경로와 워크아웃을 이용하세요,アクティビティの更新はありません。アプリに接続してルートとワークアウトを利用してください,"Нет данных об активности.Подключите приложение, чтобы получить маршруты и тренировки.","Brak aktualizacji aktywności\nPołącz z aplikacją, aby uzyskać dostęp do tras i treningów",暫無動態信息，可連接APP讀取路線、課表,Ingen aktivitetsopdateringer.Forbind til appen for at få adgang til ruter og træninger,Žádné aktualizace aktivit.Připojte se k aplikaci pro přístup k trasám a tréninkům,Inga aktivitetsuppdateringar tillgängliga. Anslut till appen för att komma åt rutter och träningspass,Ingen aktivitetsoppdateringer tilgjengelig. Koble til appen for å få tilgang til ruter og treningsøkter,Geen activiteitsupdates beschikbaar. Verbind met de app voor toegang tot routes en trainingen
706新首页,,KW_LAUNCHER_START_RIDING,开始骑行,Start Ride,Démarrer la sortie,Fahrt starten,Iniciar Ruta,Avvia uscita,Iniciar Pedalada,라이딩 시작,ライド開始,Старт,Rozpocznij jazdę,開始騎乘,Start tur,Spustit jízdu,Starta cykeltur,Start tur,Rit starten
706新首页,,KW_LAUNCHER_CHANGE_TO_INDOOR_SCENE,已切换室内骑行,Indoor Ride Activated,Sortie en intérieur activée,Indoor-Fahrt aktiviert,Modo de ciclismo interior activado,Uscita indoor attivata,Pedalada Indoor Ativada,실내 라이딩 활성화됨,屋内ライドを有効にしました,Режим «На станке» включён,Jazda wewnątrz aktywna,已切換室內騎乘,Indendørs tur aktiveret,Jízda uvnitř aktivována,Inomhuscykling aktiverad,Innendørstur aktivert,Binnenrit geactiveerd
706新首页,,KW_LAUNCHER_CHANGE_TO_OUTDOOR_SCENE,已切换户外骑行,Outdoor Ride Activated,Sortie en extérieur activée,Outdoor-Fahrt aktiviert,Modo de ciclismo exterior activado,Uscita outdoor attivata,Pedalada ao Ar Livre Ativada,실외 라이딩 활성화됨,屋外ライドを有効にしました,Режим «На улице» включён,Jazda na zewnątrz aktywna,已切換戶外騎乘,Udendørs tur aktiveret,Jízda venku aktivována,Utomhuscykling aktiverad,Utendørstur aktivert,Buitenrit geactiveerd
首页、1.6下放后可删除,H4,KW_LAUNCHER_PLEASE_PAIR_FIRST,与APP配对后可同步个人资料,Pair with the APP to sync profile,Associez-vous à l'APP pour synchroniser le profil,"Mit der APP koppeln, um das Profil zu synchronisieren.",Sincronizar con la aplicación para sincronizar el perfil,Associa l'APP per sincronizzare il profilo,Emparelhe com a APP para sincronizar o perfil,앱과 페어링하여 프로필을 동기화하세요,APPとペアリングしてプロフィールを同期,"Сопрягите устройство с приложением, чтобы синхронизировать профиль.","Sparuj z APP, aby zsynchronizować profil",與APP配對後可同步個人資料,Par med APP'en for at synkronisere profil,Spárujte s aplikací pro synchronizaci profilu,Parkoppla med APP:en för att synkronisera profilen,Parkoble med APP-en for å synkronisere profilen,Koppel met de APP om het profiel te synchroniseren
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_SUNNY_WARM_1,阳光正好我出门,"Nice sunshine, nice ride!","Beau soleil, belle sortie !","Das Wetter ist gut, auf geht's mit dem Fahrrad!",¡El sol brillaba y el paseo en bicicleta fue divertido!,"Bel tempo, andare a fare un giro in bicicletta!","Bom tempo, vá de bicicleta!","날씨 좋다, 자전거 타러 가자",いい日差しです。気持ちよく走りましょう！,"Погода прекрасная, отправляйтесь в путь!","Pogoda jest bardzo dobra, idź na rowerze!",陽光正好我出門,"Dejligt solskin, god tur!","Krásné slunce, skvělá jízda!","Härligt solsken, härlig tur!","Flott solskinn, god tur!","Lekker zonnetje, fijne rit!"
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_SUNNY_WARM_2,天气晴好，注意防晒,"Fine weather, please stay sun-safe!","Beau temps, protégez-vous du soleil !",Bitte schützen Sie sich vor der Sonne.,Hace un día precioso. Protéjase del sol.,"È una bella giornata, proteggetevi dal sole.","Está um dia lindo. Por favor, protejam-se do sol.",햇볕이 내리쬐고 있으니 햇볕에 타지 마세요.,いい天気です。日差し対策をしてください！,"Светит солнце,Защитите себя от солнца","Słońce świeci, chroń się przed słońcem.",天氣晴好，注意防曬,"Godt vejr, husk solbeskyttelse!","Pěkné počasí, chraňte se před sluncem!","Fint väder, skydda dig mot solen!","Fint vær, husk solbeskyttelse!","Mooi weer, bescherm jezelf tegen de zon!"
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_SUNNY_WARM_3,晴风逐日，骑趣正浓,Great weather! It's time to ride!,Super temps ! Il est temps de rouler !,Tolles Wetter! Es ist Zeit zu fahren!,¡Buen tiempo! ¡Es hora de irse!,Bel tempo! È ora di pedalare!,Bom tempo! É altura de pedalar!,날씨가 좋네요! 자전거를 탈 시간입니다!,最高の天気です！ライドに出かけましょう！,Отличный день для велосипедной прогулки.,To świetny dzień na przejażdżkę rowerem.,晴風逐日，騎趣正濃,Fantastisk vejr! Tid til at cykle!,"Skvělé počasí, čas vyrazit!",Fantastiskt väder! Dags att cykla!,Flott vær! Tid for en sykkeltur!,Geweldig weer! Tijd om te fietsen!
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_SUNNY_COLD_1,冷风来袭，暖装出行,"It's getting cold,layer up for ride!","Il commence à faire froid,superposez vos couches pour rouler !","Es wird kalt, ziehen Sie sich für die Fahrt an!","Se está poniendo frío, ¡ponte capas para el viaje!","Il tempo si raffredda, indossa più vestiti","O tempo arrefece, use mais roupa",날씨가 추워지니 두꺼운 옷을 입으세요.,寒くなってきました。重ね着してライドに出かけましょう！,Становится холодно. Надень больше одежды.,Robi się zimno. Załóż więcej ubrań.,冷風來襲，暖裝出行,"Det bliver koldt, tag ekstra lag tøj på til turen!","Přibývá chladu, vrstvěte se!","Det blir kallt, klä dig varmt inför turen!","Det blir kaldt, kle deg godt for turen!","Het wordt koud, kleed je warm aan voor de rit!"
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_SUNNY_COLD_2,天冷寒侵，骑行护好膝,"Cold days, warm-up before ride.","Par temps froid, échauffez-vous avant de rouler.",Aufwärmen vor dem Radfahren,"Días fríos, calentar antes de montar en bicicleta","Giornate fredde, riscaldarsi prima di pedalare","Dias frios, aquecer antes de andar de bicicleta","추운 날, 사이클링 전 워밍업",寒い日は、ライド前にウォームアップしましょう。,Разминка перед ездой на велосипеде,Zimna pogoda.Rozgrzewka przed jazdą na rowerze,天冷寒侵，騎行護好膝,Kolde dage? Varm op før cykelturen.,Chladné dny: rozcvička před jízdou!,"Kalla dagar, värm upp före turen.","Kalde dager, varm opp før turen.","Koude dagen, warm op voor de rit."
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_SUNNY_COLD_3,凉寒意稠，着厚装任君游,Cold ride?Protect hands and ears.,Sortie par temps froid ?Protégez vos mains et vos oreilles.,"Kaltes Wetter, schützen Sie Hände und Ohren.","Clima frío, proteger las manos y las orejas.","Clima freddo, proteggere le mani e le orecchie.","Tempo frio, proteger as mãos e os ouvidos.",날씨가 추워지니 손과 귀를 보호하세요.,寒い日のライドですか？手と耳を保護しましょう。,Холодно. Защищайте руки и уши.,Jest zimno. Chroń dłonie i uszy.,涼寒意稠，著厚裝任君遊,Kold tur? Beskyt hænder og ører.,Zima? Chraňte uši a ruce!,Kall tur? Skydda händer och öron.,Kald tur? Beskytt hender og ører.,Koude rit? Bescherm handen en oren.
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_CLOUDY_1,云层厚，风渐起，骑行请加衣,"Cloudy now, heed weather change.","Le ciel est couvert, surveillez l'évolution du temps.","Jetzt bewölkt, beachten Sie den Wetterwechsel.",Tenga en cuenta que el clima puede cambiar,Si noti che il tempo può cambiare,Note-se que o tempo pode mudar,날씨는 언제든지 변경될 수 있습니다.,曇っています。天候の変化に注意してください。,"Пожалуйста, следите за погодой","Należy pamiętać, że pogoda jest zmienna",雲層厚，風漸起，騎行請加衣,"Overskyet nu, vær opmærksom på vejrændringer.","Zataženo, sledujte změny!","Molnigt nu, var uppmärksam på väderomslag.","Overskyet nå, vær oppmerksom på værendringer.","Nu bewolkt, let op weersveranderingen."
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_CLOUDY_2,今日多云天，骑行莫急赶,"Ride cloudy, stay alert for wind shifts.","Par temps couvert, restez attentif aux changements de vent.",Die Windrichtung ändert sich oft!,Manténgase alerta a los cambios de viento.,Stai attento ai cambiamenti del vento.,"Tempo nublado, atenção às mudanças de vento","흐림, 바람의 변화에 유의하세요",曇天でのライドでは、風向きの変化に注意してください。,Следите за изменениями ветра.,Zwróć uwagę na zmiany wiatru.,今日多雲天，騎行莫急趕,"Cykl under skyet himmel, vær opmærksom på vindskift.",Jízda v mracích: pozor na vítr!,"Molnig tur, var uppmärksam på vindskiftningar.","Overskyet tur, vær obs på vindskift.","Bewolkte rit, let op windveranderingen."
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_CLOUDY_3,风云善变，慎行方安,"Ride cloudy, bring a windbreaker.","Par temps couvert, prenez un coupe-vent.","Bewölkt,bitte bringen Sie noch ein Kleid mit","Estará nublado, por favor traiga una prenda extra","Sarà nuvoloso, per favore porta un capo extra","Céu nublado, por favor traga um casaco extra",하늘이 흐릴 경우 여분의 외투를 준비하세요.,曇天でのライドには、ウインドブレーカーを持参しましょう。,"пасмурно, возьмите с собой куртку.","jest pochmurno, należy zabrać kurtkę.",風雲善變，慎行方安,"Cykl under skyet himmel, medbring en windjakke.","Zataženo, mějte větrovku!","Molnig tur, ta med en vindjacka.","Overskyet tur, ta med vindjakke.","Bewolkte rit, neem een windjack mee."
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_OVERCAST_1,天色阴沉，骑行请慢,"Light up,layer up!","Allumez-vous,superposez-vous !",An bewölkten Tagen bitte langsamer werden,"En días nublados, reduzca la velocidad","Nei giorni nuvolosi, ridurre la velocità","Está nublado, por isso abrande a velocidade.",날씨가 흐리니 속도를 늦추세요.,ライトを点けて、重ね着しよう！,Важно включить фары и снизить скорость.,Sprawdź światła i załóż dodatkowe ubrania.,天色陰沉，騎行請慢,"Tænd lys, tag ekstra tøj på!","Rozsviť se, obleč se do vrstev!",Tänd ljuset och klä dig varmt!,Slå på lys og kle deg godt!,Zet je lamp aan en kleed je warm!
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_OVERCAST_2,防风且保暖，安全记心间,"Keep eyes on sky, rain may come.","Gardez les yeux sur le ciel, la pluie peut arriver.","Halten Sie das Auge, der Regen kann bekommen.","Esté atento al cielo, puede llover.","Tieni d'occhio il cielo, può piovere.","Atenção ao céu, pode chover.",비가 올 수 있으니 하늘을 보세요.,空模様に注意してください。雨が降るかもしれません。,Следите за небом. Может пойти дождь.,Obserwuj niebo w poszukiwaniu deszczu.,防風且保暖，安全記心間,"Hold øje med himlen, regn kan komme.","Hlídejte oblohu, déšť může přijít","Håll koll på himlen, regn kan komma.","Følg med på himmelen, det kan komme regn.","Houd de lucht in de gaten, er kan regen komen."
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_OVERCAST_3,阴云天蔽日，骑行灯莫迟,"Light's low, turn on lamp.","La lumière baisse, allumez la lampe.",Drehen Sie das Licht beim Fahren,Enciende las luces mientras andas en bicicleta.,Accendi le luci mentre pedali.,Ligar as luzes enquanto pedala.,흐린 날에는 라이딩 시 라이트를 켜주세요.,暗くなってきたら、ライトを点灯してください。,"Тусклое освещение, пожалуйста, включите фары","Przyciemnione oświetlenie, włącz reflektory",陰雲天蔽日，騎行燈莫遲,Lavt lys? Tænd forlygten.,Slabé světlo: ZAPNĚTE SVĚTLA!,"Ljuset är svagt, tänd lampan.","Lyset er svakt, slå på lykten.","Weinig licht, zet je lamp aan."
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_OVERCAST_4,天阴沉，心放沉,Maybe rainy; maybe take a rest.,Peut-être de la pluie ; peut-être un peu de repos.,"Vielleicht regnet es, du solltest dich ausruhen","Tal vez esté lloviendo, deberías descansar","Pioverà, dovresti fare una pausa","Vai chover, é melhor fazer uma pausa",비가 오니 잠시 쉬는 것이 좋습니다.,雨が降るかもしれません。少し休むのもよいでしょう。,Может пойти дождь. Лучше передохнуть.,Może padać. Zrób sobie dzisiaj przerwę.,天陰沉，心放沉,Måske regn? Overvej en pause.,"Možný déšť, zvažte přestávku",Det kan bli regn; kanske dags att vila.,Det kan bli regn; kanskje ta en pause.,Misschien regen; misschien tijd om te rusten.
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_RAINY_1,雨天路滑，安全第一,"Watch for dim light, slow on wet.","Attention à la faible luminosité, ralentissez sur sol mouillé.","Die Straße ist rutschig, langsamer werden","El camino está resbaladizo, reduzca la velocidad","La strada è scivolosa, riduci la velocità","A estrada está escorregadia, reduzir a velocidade",도로가 미끄러우니 속도를 줄이세요.,薄暗いときは注意し、濡れた路面では速度を落としてください。,"Сбавьте скорость, если дорога скользкая","Należy zwolnić, gdy droga jest śliska.",雨天路滑，安全第一,"Pas på svagt lys, kør langsomt på våd vej.",Šero? Zpomal + mokro!,"Se upp vid svagt ljus, sakta ner på vått underlag.","Vær obs på dårlig lys, senk farten på vått underlag.","Let op bij weinig licht, vertraag op nat wegdek."
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_RAINY_2,雨丝飘洒，骑行慎行,"Brake early, wear gear.","Freinez tôt, portez votre équipement.","Die Straße ist rutschig, bremsen Sie früh","La carretera está resbaladiza, frene temprano","La strada è scivolosa, frenare presto","Estradas escorregadias, travar cedo","미끄러운 도로, 일찍 브레이크 밟기.",早めにブレーキをかけ、装備を整えましょう。,Тормозите заранее на скользких дорогах,Wczesne hamowanie na śliskiej nawierzchni,雨絲飄灑，騎行慎行,"Brems tidligt, bær sikkerhedsudstyr.",BRZDĚTE BRZY! Oblečení povinné!,Bromsa i god tid och använd skyddsutrustning.,Brems tidlig og bruk beskyttelsesutstyr.,Rem vroeg en draag beschermende uitrusting.
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_RAINY_3,小雨润如酥，安全心尖驻,"Avoid puddles, check brakes first!","Évitez les flaques, vérifiez d'abord les freins !","Pfützen vermeiden, zuerst die Bremsen prüfen!","¡Evita los charcos, revisa primero los frenos!","Evitare le pozzanghere, controllare prima i freni!","Evitar as poças na estrada,Verificar os travões!",도로의 웅덩이를 피하세요! 브레이크를 확인하세요!,水たまりを避け、まずブレーキを確認してください！,Избегайте луж на дороге! Проверьте тормоза!,Unikaj kałuż na drodze! Sprawdź hamulce!,小雨潤如酥，安全心尖駐,"Undgå vandpytter, tjek bremserne først!",Kaluže? Nejdřív zkontrolujte brzdy!,"Undvik vattenpölar, kontrollera bromsarna först!","Unngå vanndammer, sjekk bremsene først!","Vermijd plassen, controleer eerst de remmen!"
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_SHOWER,雨骤莫骑行，安待天放晴,Rainy! Skip cycling outside.,Pluie ! Évitez de rouler dehors.,Es regnet! Vermeiden Sie das Fahrrad im Freien.,Está lloviendo! No salgas con la bici.,Sta piovendo! Non andate in bicicletta all'aperto.,Está a chover! Não andes de bicicleta lá fora.,비가 오네요! 밖에서 자전거를 타지 마세요.,雨です！屋外でのサイクリングは控えましょう。,На улице дождь. Не катайся на велосипеде.,"Nie jeździj na rowerze, gdy pada deszcz.",雨驟莫騎行，安待天放晴,Regnvejr? Spring over cykling udendørs.,DÉŠŤ! Vynechte venkovní jízdu,Regnigt! Undvik cykling utomhus.,Regn! Dropp sykling ute.,Regen! Sla buiten fietsen over.
