词条所在界面（注意是界面不是模块！！）,KW,,中文,英文,法语,德语,西班牙语,意大利语,葡萄牙语,韩语,日语,俄语,波兰语,繁体中文,丹麦语,捷克语,瑞典语,挪威语,荷兰语,泰语,芬兰语,土耳其语,,
,KW_RIDE_LAP_MAX_SPD,,圈最大速度,L. MAX. SPD,VIT. MAX. TOUR,MAX. RUNDENGESCHW.,VEL. MÁX. VUELTA,VEL. MAX GIRO,VEL. MÁX. VOLTA,랩 최대 속도,ラップ最高速度,МАКС. СКОР. КРУГА,MAKS. PRĘDK. OKR.,圈最大速度,OMG. MAKS. HAST.,MAX. RYCH. OKRUHU,VARV MAXFART,RUNDE MAKS. FART,RONDE MAX. SNELH.,ความเร็วสูงสุดรอบ,KIER. MAKS. NOPEUS,TUR MAKS. HIZ,,
,KW_RIDE_LAP_AVG_CAD,,圈平均踏频,L. AVG. CAD.,CAD. MOY. TOUR,Ø RUNDENKAD.,CAD. MED. VUELTA,CAD. MEDIA GIRO,CAD. MÉD. VOLTA,랩 평균 케이던스,ラップ平均ケイデンス,СР. КАД. КРУГА,ŚR. KAD. OKR.,圈平均踏頻,OMG. GNS. KAD.,PRŮM. KAD. OKRUHU,VARV SNITTKAD.,RUNDE GJ.SN. TRÅKKF.,RONDE GEM. CAD.,รอบขาเฉลี่ยรอบ,KIER. KESKIKAD.,TUR ORT. KAD.,,
,KW_RIDE_LAP_MAX_CAD,,圈最大踏频,L. MAX. CAD.,CAD. MAX. TOUR,MAX. RUNDENKAD.,CAD. MÁX. VUELTA,CAD. MAX GIRO,CAD. MÁX. VOLTA,랩 최대 케이던스,ラップ最高ケイデンス,МАКС. КАД. КРУГА,MAKS. KAD. OKR.,圈最大踏頻,OMG. MAKS. KAD.,MAX. KAD. OKRUHU,VARV MAXKAD.,RUNDE MAKS. TRÅKKF.,RONDE MAX. CAD.,รอบขาสูงสุดรอบ,KIER. MAKS. KAD.,TUR MAKS. KAD.,,
,KW_RIDE_LAP_AVG_HR,,圈平均心率,LAP AVG. HR,FC MOY. TOUR,Ø RUNDENHF,FC MED. VUELTA,FC MEDIA GIRO,FC MÉD. VOLTA,랩 평균 심박수,ラップ平均心拍,СР. ЧСС КРУГА,ŚR. TĘTNO OKR.,圈平均心率,OMG. GNS. PULS,PRŮM. TF OKRUHU,VARV SNITTPULS,RUNDE GJ.SN. PULS,RONDE GEM. HS,HR เฉลี่ยรอบ,KIER. KESKISYKE,TUR ORT. NABIZ,,
,KW_RIDE_LAP_MAX_HR,,圈最大心率,LAP MAX. HR,FC MAX. TOUR,MAX. RUNDENHF,FC MÁX. VUELTA,FC MAX GIRO,FC MÁX. VOLTA,랩 최대 심박수,ラップ最大心拍,МАКС. ЧСС КРУГА,MAKS. TĘTNO OKR.,圈最大心率,OMG. MAKS. PULS,MAX. TF OKRUHU,VARV MAXPULS,RUNDE MAKS. PULS,RONDE MAX. HS,HR สูงสุดรอบ,KIER. MAKS. SYKE,TUR MAKS. NABIZ,,
,KW_RIDE_LAP_AVG_PWR,,圈平均功率,L. AVG. PWR,PUI. MOY. TOUR,Ø RUNDENLEIST.,POT. MED. VUELTA,POT. MEDIA GIRO,POT. MÉD. VOLTA,랩 평균 파워,ラップ平均パワー,СР. МОЩН. КРУГА,ŚR. MOC OKR.,圈平均功率,OMG. GNS. EFFEKT,PRŮM. VÝKON OKRUHU,VARV SNITTEFFEKT,RUNDE GJ.SN. EFFEKT,RONDE GEM. VERM.,กำลังเฉลี่ยรอบ,KIER. KESKITEHO,TUR ORT. GÜÇ,,
,KW_RIDE_LAP_MAX_PWR,,圈最大功率,L. MAX. PWR,PUI. MAX. TOUR,MAX. RUNDENLEIST.,POT. MÁX. VUELTA,POT. MAX GIRO,POT. MÁX. VOLTA,랩 최대 파워,ラップ最大パワー,МАКС. МОЩН. КРУГА,MAKS. MOC OKR.,圈最大功率,OMG. MAKS. EFFEKT,MAX. VÝKON OKRUHU,VARV MAXEFFEKT,RUNDE MAKS. EFFEKT,RONDE MAX. VERM.,กำลังสูงสุดรอบ,KIER. MAKS. TEHO,TUR MAKS. GÜÇ,,
,KW_DATA_TYPE_NP_LAP,,圈标准化功率,LAP NP,NP TOUR,RUNDEN-NP,NP VUELTA,NP GIRO,NP VOLTA,랩 NP,ラップNP,NP КРУГА,NP OKR.,圈 NP,OMG. NP,NP OKRUHU,VARV NP,RUNDE NP,RONDE NP,NP รอบ,KIER. NP,TUR NP,,
,KW_RIDE_LAP_W_KG,,圈功体比,LAP W/Kg,W/kg TOUR,RUNDEN-W/kg,W/kg VUELTA,W/kg GIRO,W/kg VOLTA,랩 W/kg,ラップW/kg,W/kg КРУГА,W/kg OKR.,圈 W/kg,OMG. W/kg,W/kg OKRUHU,VARV W/kg,RUNDE W/kg,RONDE W/kg,W/kg รอบ,KIER. W/kg,TUR W/kg,,
,KW_RIDE_LAP_CORE_TEMP,,圈核心温度,LAP CORE TEMP,TEMP. CORE TOUR,RUNDEN-KERNTEMP.,TEMP. CENTRAL VUELTA,TEMP. CORE GIRO,TEMP. CORE VOLTA,랩 코어 온도,ラップ深部体温,ТЕМП. ЯДРА КРУГА,TEMP. GŁĘB. OKR.,圈核心體溫,OMG. CORE-TEMP.,TEPL. JÁDRA OKRUHU,VARV KÄRNTEMP.,RUNDE KJERNETEMP.,RONDE KERNTEMP.,อุณหภูมิแกนกลางรอบ,KIER. YDINLÄMPÖ,TUR ÇEKİRDEK SIC.,,
,KW_RIDE_DISCARD,,舍弃,Discard,Ignorer,Verwerfen,Descartar,Scarta,Descartar,버리기,破棄,Отменить запись,Odrzuć,捨棄,Kassér,Zahodit,Kassera,Forkast,Verwerpen,ทิ้ง,Hylkää,Vazgeç,,
,KW_RIDE_CANCEL,,取消,Cancel,Annuler,Abbrechen,Cancelar,Annulla,Cancelar,취소,キャンセル,Отмена,Anuluj,取消,Annuller,Zrušit,Avbryt,Avbryt,Annuleren,ยกเลิก,Peruuta,İptal,,
,KW_RIDE_CONFIRM,,确认,OK,OK,OK,OK,OK,OK,확인,OK,OK,OK,確定,OK,OK,OK,OK,OK,ตกลง,OK,Tamam,,
,KW_RIDE_END,,结束,End,Terminer,Beenden,Finalizar,Fine,Finalizar,종료,終了,Завершить,Zakończ,結束,Afslut,Ukončit,Avsluta,Avslutt,Beëindigen,สิ้นสุด,Lopeta,Bitir,,
,KW_RIDE_DISCARD_CONFIRM,,舍弃后不可恢复，确认要舍弃吗？,Discarding cannot be undone. Are you sure you want to discard?,L'abandon est irréversible. Voulez-vous vraiment abandonner ?,Das Verwerfen kann nicht rückgängig gemacht werden. Möchten Sie wirklich verwerfen?,Descartar no se puede deshacer. ¿Seguro que quieres descartar?,L'eliminazione non può essere annullata. Vuoi davvero scartare?,Descartar não pode ser desfeito. Tem certeza de que deseja descartar?,버리기는 취소할 수 없습니다. 정말 버리시겠습니까?,破棄すると元に戻せません。本当に破棄しますか？,"Отмену записи нельзя отменить. Вы уверены, что хотите отменить запись?",Odrzucenia nie można cofnąć. Czy na pewno chcesz odrzucić?,捨棄後無法復原。確定要捨棄嗎？,"Kassering kan ikke fortrydes. Er du sikker på, at du vil kassere?",Zahození nelze vrátit zpět. Opravdu chcete záznam zahodit?,Kassering kan inte ångras. Är du säker på att du vill kassera?,Forkasting kan ikke angres. Er du sikker på at du vil forkaste?,Verwerpen kan niet ongedaan worden gemaakt. Weet je zeker dat je wilt verwerpen?,การทิ้งไม่สามารถย้อนกลับได้ คุณแน่ใจหรือไม่ว่าต้องการทิ้ง?,Hylkäämistä ei voi perua. Haluatko varmasti hylätä?,Vazgeçme işlemi geri alınamaz. Vazgeçmek istediğinizden emin misiniz?,,
,KW_RIDE_END_SAVE_CONFIRM,,结束并保存记录？,End and save record?,Terminer et enregistrer l'activité ?,Beenden und Aufzeichnung speichern?,¿Finalizar y guardar el registro?,Terminare e salvare il record?,Finalizar e salvar o registro?,종료하고 기록을 저장하시겠습니까?,終了して記録を保存しますか？,Завершить и сохранить запись?,Zakończyć i zapisać rekord?,結束並儲存記錄？,Afslut og gem registrering?,Ukončit a uložit záznam?,Avsluta och spara posten?,Avslutte og lagre registreringen?,Beëindigen en record opslaan?,สิ้นสุดและบันทึกกิจกรรมหรือไม่?,Lopetetaanko ja tallennetaanko harjoitus?,Bitirip kaydı kaydet?,,
,KW_RIDE_SCENE_OUTDOOR_TO_INDOOR_WARNING,,当前场景为户外环境使用，为确保数据计算准确，请切换关联室内环境的场景再使用骑行台骑行,"The current scene is set for outdoor use. To ensure accurate data calculation, please switch to a scene associated with an indoor environment before riding on the trainer.","La scène actuelle est définie pour une utilisation en extérieur. Pour garantir un calcul précis des données, veuillez passer à une scène associée à un environnement intérieur avant de rouler sur le home trainer.","Die aktuelle Szene ist für die Verwendung im Freien eingestellt. Um eine genaue Datenberechnung sicherzustellen, wechseln Sie bitte vor dem Training auf dem Trainer zu einer Szene für den Innenbereich.","La escena actual está configurada para uso en exteriores. Para garantizar un cálculo preciso de los datos, cambia a una escena asociada con un entorno interior antes de rodar en el rodillo.","La scena attuale è impostata per l'uso all'aperto. Per garantire un calcolo accurato dei dati, passa a una scena associata a un ambiente indoor prima di pedalare sul rullo.","A cena atual está definida para uso ao ar livre. Para garantir o cálculo preciso dos dados, alterne para uma cena associada a um ambiente interno antes de pedalar no rolo.",현재 장면은 실외용으로 설정되어 있습니다. 정확한 데이터 계산을 위해 트레이너에서 라이딩하기 전에 실내 환경과 연결된 장면으로 전환하세요.,現在のシーンは屋外用に設定されています。データを正確に計算するため、トレーナーで走行する前に屋内環境に関連付けられたシーンに切り替えてください。,"Текущий сценарий настроен для использования на улице. Для точного расчета данных переключитесь на сценарий, связанный с помещением, перед поездкой на велотренажере.","Bieżąca scena jest ustawiona do użytku na zewnątrz. Aby zapewnić dokładne obliczanie danych, przełącz się na scenę powiązaną ze środowiskiem wewnętrznym przed jazdą na trenażerze.",目前場景設定為戶外使用。為確保資料計算準確，請在騎行台上騎行前切換至關聯室內環境的場景。,"Den aktuelle scene er indstillet til udendørs brug. For at sikre nøjagtig databeregning skal du skifte til en scene, der er knyttet til et indendørsmiljø, før du kører på hometraineren.",Aktuální scéna je nastavena pro venkovní použití. Pro zajištění přesného výpočtu dat přepněte před jízdou na trenažéru na scénu spojenou s vnitřním prostředím.,"Den aktuella scenen är inställd för utomhusbruk. För att säkerställa korrekt databeräkning, byt till en scen som är kopplad till en inomhusmiljö innan du cyklar på trainern.","Gjeldende scene er satt for utendørs bruk. For å sikre nøyaktig databeregning, bytt til en scene knyttet til et innendørsmiljø før du sykler på rullen.",De huidige scène is ingesteld voor buitengebruik. Schakel voor een nauwkeurige gegevensberekening over naar een scène die is gekoppeld aan een binnenomgeving voordat je op de trainer fietst.,ปัจจุบันฉากถูกตั้งค่าสำหรับใช้งานกลางแจ้ง เพื่อให้คำนวณข้อมูลได้อย่างแม่นยำ โปรดเปลี่ยนเป็นฉากที่เชื่อมโยงกับสภาพแวดล้อมในร่มก่อนขี่บนเทรนเนอร์,Nykyinen näkymä on asetettu ulkokäyttöön. Varmista tarkka tietojen laskenta vaihtamalla sisäympäristöön liitettyyn näkymään ennen harjoitusvastuksella ajoa.,Geçerli sahne dış mekân kullanımı için ayarlı. Verilerin doğru hesaplanması için trainer üzerinde sürüşe başlamadan önce iç mekân ortamıyla ilişkili bir sahneye geçin.,,
,KW_RIDE_SCENE_INDOOR_TO_OUTDOOR_WARNING,,当前场景为室内环境使用，为确保数据计算准确，请切换关联户外环境的场景再开始骑行,"The current scene is set for indoor use. To ensure accurate data calculation, please switch to a scene associated with an outdoor environment before starting your ride.","La scène actuelle est définie pour une utilisation en intérieur. Pour garantir un calcul précis des données, veuillez passer à une scène associée à un environnement extérieur avant de commencer votre sortie.","Die aktuelle Szene ist für die Verwendung im Innenbereich eingestellt. Um eine genaue Datenberechnung sicherzustellen, wechseln Sie bitte vor dem Start der Fahrt zu einer Szene für den Außenbereich.","La escena actual está configurada para uso en interiores. Para garantizar un cálculo preciso de los datos, cambia a una escena asociada con un entorno exterior antes de iniciar el recorrido.","La scena attuale è impostata per l'uso indoor. Per garantire un calcolo accurato dei dati, passa a una scena associata a un ambiente all'aperto prima di iniziare la corsa.","A cena atual está definida para uso interno. Para garantir o cálculo preciso dos dados, alterne para uma cena associada a um ambiente externo antes de iniciar a pedalada.",현재 장면은 실내용으로 설정되어 있습니다. 정확한 데이터 계산을 위해 라이딩을 시작하기 전에 실외 환경과 연결된 장면으로 전환하세요.,現在のシーンは屋内用に設定されています。データを正確に計算するため、ライドを開始する前に屋外環境に関連付けられたシーンに切り替えてください。,"Текущий сценарий настроен для использования в помещении. Для точного расчета данных переключитесь на сценарий, связанный с улицей, перед началом заезда.","Bieżąca scena jest ustawiona do użytku wewnątrz. Aby zapewnić dokładne obliczanie danych, przełącz się na scenę powiązaną ze środowiskiem zewnętrznym przed rozpoczęciem jazdy.",目前場景設定為室內使用。為確保資料計算準確，請在開始騎行前切換至關聯戶外環境的場景。,"Den aktuelle scene er indstillet til indendørs brug. For at sikre nøjagtig databeregning skal du skifte til en scene, der er knyttet til et udendørsmiljø, før du starter din tur.",Aktuální scéna je nastavena pro vnitřní použití. Pro zajištění přesného výpočtu dat přepněte před zahájením jízdy na scénu spojenou s venkovním prostředím.,"Den aktuella scenen är inställd för inomhusbruk. För att säkerställa korrekt databeräkning, byt till en scen som är kopplad till en utomhusmiljö innan du startar turen.","Gjeldende scene er satt for innendørs bruk. For å sikre nøyaktig databeregning, bytt til en scene knyttet til et utendørsmiljø før du starter turen.",De huidige scène is ingesteld voor binnengebruik. Schakel voor een nauwkeurige gegevensberekening over naar een scène die is gekoppeld aan een buitenomgeving voordat je je rit start.,ปัจจุบันฉากถูกตั้งค่าสำหรับใช้งานในร่ม เพื่อให้คำนวณข้อมูลได้อย่างแม่นยำ โปรดเปลี่ยนเป็นฉากที่เชื่อมโยงกับสภาพแวดล้อมกลางแจ้งก่อนเริ่มการขี่,Nykyinen näkymä on asetettu sisäkäyttöön. Varmista tarkka tietojen laskenta vaihtamalla ulkoympäristöön liitettyyn näkymään ennen ajon aloittamista.,Geçerli sahne iç mekân kullanımı için ayarlı. Verilerin doğru hesaplanması için sürüşe başlamadan önce dış mekân ortamıyla ilişkili bir sahneye geçin.,,
历史记录,KW_USER_TOTAL_DISTANCE,,累计里程,Total Distance,Distance totale,Gesamtdistanz,Distancia total,Distanza totale,Distância total,총 거리,合計距離,Общая дистанция,Całkowity dystans,總距離,Samlet distance,Celková vzdálenost,Total distans,Total distanse,Totale afstand,ระยะทางรวม,Kokonaismatka,Toplam mesafe,,
,KW_USER_TOTAL_TIME,,累计时间,Total Time,Temps total,Gesamtzeit,Tiempo total,Tempo totale,Tempo total,총 시간,合計時間,Общее время,Całkowity czas,總用時,Samlet tid,Celkový čas,Total tid,Total tid,Totale tijd,เวลารวม,Kokonaisaika,Toplam süre,,
,KW_USER_TOTAL_ASCENT,,累计上升,Total Ascent,Dénivelé positif total,Gesamtanstieg,Ascenso total,Ascesa totale,Subida total,총 상승고도,総上昇量,Общий набор высоты,Całkowity wznios,總爬升,Samlet stigning,Celkové stoupání,Total stigning,Total stigning,Totale stijging,ความสูงสะสมรวม,Kokonaisnousu,Toplam tırmanış,,
,KW_USER_TOTAL_COUNT,,累计次数,Total Count,Nombre total,Gesamtanzahl,Conteo total,Conteggio totale,Contagem total,총 횟수,合計回数,Общее количество,Łączna liczba,總數,Samlet antal,Celkový počet,Totalt antal,Totalt antall,Totaal aantal,จำนวนรวม,Kokonaismäärä,Toplam sayı,,
,KW_USER_TOTAL,,总计,Total,Total,Gesamt,Total,Totale,Total,총계,合計,Итого,Razem,總計,I alt,Celkem,Totalt,Totalt,Totaal,รวม,Yhteensä,Toplam,,
,KW_USER_THIS_MONTH,,本月,This Month,Ce mois-ci,Diesen Monat,Este mes,Questo mese,Este mês,이번 달,今月,В этом месяце,Ten miesiąc,本月,Denne måned,Tento měsíc,Denna månad,Denne måneden,Deze maand,เดือนนี้,Tässä kuussa,Bu ay,,
,KW_USER_THIS_YEAR,,本年,This Year,Cette année,Dieses Jahr,Este año,Quest'anno,Este ano,올해,今年,В этом году,Ten rok,今年,I år,Tento rok,I år,Dette året,Dit jaar,ปีนี้,Tänä vuonna,Bu yıl,,
,KW_USER_DELETE,,删除,Delete,Supprimer,Löschen,Eliminar,Elimina,Excluir,삭제,削除,Удалить,Usuń,刪除,Slet,Smazat,Radera,Slett,Verwijderen,ลบ,Poista,Sil,,
,KW_USER_RECORD_SYNCING_NOTICE,,记录同步中，请稍后操作,Record syncing. Please try again later.,Synchronisation de l'enregistrement en cours. Veuillez réessayer plus tard.,Aufzeichnung wird synchronisiert. Bitte versuchen Sie es später erneut.,Sincronizando registro. Inténtalo de nuevo más tarde.,Sincronizzazione del record in corso. Riprova più tardi.,Sincronizando registro. Tente novamente mais tarde.,기록을 동기화하는 중입니다. 나중에 다시 시도하세요.,記録を同期中です。後でもう一度お試しください。,Запись синхронизируется. Повторите попытку позже.,Synchronizacja rekordu. Spróbuj ponownie później.,記錄同步中，請稍後重試。,Registrering synkroniseres. Prøv igen senere.,Záznam se synchronizuje. Zkuste to prosím později.,Posten synkroniseras. Försök igen senare.,Registreringen synkroniseres. Prøv igjen senere.,Record wordt gesynchroniseerd. Probeer het later opnieuw.,กำลังซิงค์บันทึก โปรดลองอีกครั้งภายหลัง,Tietuetta synkronoidaan. Yritä myöhemmin uudelleen.,Kayıt eşitleniyor. Lütfen daha sonra tekrar deneyin.,,
,KW_USER_DELETE_RECORD_CONFIRM,,确认删除该记录？删除后无法找回。,Delete this record? It cannot be recovered after deletion.,Supprimer cet enregistrement ? Il ne pourra pas être récupéré après la suppression.,Diese Aufzeichnung löschen? Nach dem Löschen kann sie nicht wiederhergestellt werden.,¿Eliminar este registro? No se podrá recuperar después de eliminarlo.,Eliminare questo record? Non potrà essere recuperato dopo l'eliminazione.,Excluir este registro? Ele não poderá ser recuperado após a exclusão.,이 기록을 삭제하시겠습니까? 삭제 후에는 복구할 수 없습니다.,この記録を削除しますか？削除後は復元できません。,Удалить эту запись? После удаления ее нельзя будет восстановить.,Usunąć ten rekord? Po usunięciu nie będzie można go odzyskać.,刪除此記錄？刪除後將無法恢復。,Slet denne registrering? Den kan ikke gendannes efter sletning.,Smazat tento záznam? Po smazání jej nebude možné obnovit.,Radera denna post? Den kan inte återställas efter radering.,Slette denne registreringen? Den kan ikke gjenopprettes etter sletting.,Dit record verwijderen? Het kan na verwijdering niet worden hersteld.,ลบบันทึกนี้หรือไม่? เมื่อลบแล้วจะไม่สามารถกู้คืนได้,Poistetaanko tämä tietue? Sitä ei voi palauttaa poistamisen jälkeen.,Bu kayıt silinsin mi? Silindikten sonra geri alınamaz.,,
,KW_USER_NO_RECORD_NOTICE,,暂无记录，使用码表骑行后查看记录,No records yet. Ride with the bike computer to view records.,Aucun enregistrement pour le moment. Roulez avec le compteur vélo pour afficher les enregistrements.,"Noch keine Aufzeichnungen. Fahren Sie mit dem Fahrradcomputer, um Aufzeichnungen anzuzeigen.",Aún no hay registros. Usa el ciclocomputador para ver registros.,Ancora nessun record. Usa il ciclocomputer per visualizzare i record.,Ainda não há registros. Pedale com o ciclocomputador para visualizar registros.,아직 기록이 없습니다. 자전거 컴퓨터로 라이딩하면 기록을 볼 수 있습니다.,まだ記録がありません。サイクルコンピューターで走行すると記録を表示できます。,"Записей пока нет. Совершите поездку с велокомпьютером, чтобы просмотреть записи.","Brak rekordów. Jedź z licznikiem rowerowym, aby wyświetlić rekordy.",尚無記錄。使用碼錶騎行後即可查看記錄。,Ingen registreringer endnu. Kør med cykelcomputeren for at se registreringer.,"Zatím žádné záznamy. Jeďte s cyklopočítačem, abyste zobrazili záznamy.",Inga poster ännu. Cykla med cykeldatorn för att visa poster.,Ingen registreringer ennå. Sykle med sykkelcomputeren for å vise registreringer.,Nog geen records. Fiets met de fietscomputer om records te bekijken.,ยังไม่มีบันทึก ใช้ไมล์จักรยานขี่เพื่อดูบันทึก,Ei vielä tietueita. Aja pyörätietokoneen kanssa nähdäksesi tietueet.,Henüz kayıt yok. Kayıtları görüntülemek için bisiklet bilgisayarıyla sürüş yapın.,,
骑行记录,KW_RIDE_RECORD_SUMMARY,,摘要数据,Summary,Résumé,Zusammenfassung,Resumen,Riepilogo,Resumo,요약,概要,Сводка,Podsumowanie,摘要,Oversigt,Souhrn,Sammanfattning,Sammendrag,Samenvatting,สรุป,Yhteenveto,Özet,,
,KW_RIDE_RECORD_DATA_ANALYSIS,,数据分析,Data Analysis,Analyse des données,Datenanalyse,Análisis de datos,Analisi dati,Análise de dados,데이터 분석,データ分析,Анализ данных,Analiza danych,資料分析,Dataanalyse,Analýza dat,Dataanalys,Dataanalyse,Gegevensanalyse,การวิเคราะห์ข้อมูล,Tietojen analyysi,Veri analizi,,
,KW_RIDE_RECORD_SPEED,,速度,SPEED,VITESSE,GESCHWINDIGKEIT,VELOCIDAD,VELOCITÀ,VELOCIDADE,속도,速度,СКОРОСТЬ,PRĘDKOŚĆ,速度,HASTIGHED,RYCHLOST,HASTIGHET,FART,SNELHEID,ความเร็ว,NOPEUS,HIZ,,
,KW_RIDE_RECORD_POWER,,功率,POWER,PUISSANCE,LEISTUNG,POTENCIA,POTENZA,POTÊNCIA,파워,パワー,МОЩНОСТЬ,MOC,功率,EFFEKT,VÝKON,EFFEKT,EFFEKT,VERMOGEN,กำลัง,TEHO,GÜÇ,,
,KW_RIDE_RECORD_HEART_RATE,,心率,HEART RATE,FRÉQUENCE CARDIAQUE,HERZFREQUENZ,FRECUENCIA CARDÍACA,FREQUENZA CARDIACA,FREQUÊNCIA CARDÍACA,심박수,心拍数,ПУЛЬС,TĘTNO,心率,PULS,SRDEČNÍ TEPOVÁ FREKVENCE,PULS,PULS,HARTSLAG,อัตราการเต้นหัวใจ,SYKE,NABIZ,,
,KW_RIDE_RECORD_CADENCE,,踏频,CADENCE,CADENCE,TRITTFREQUENZ,CADENCIA,CADENZA,CADÊNCIA,케이던스,ケイデンス,КАДЕНС,KADENCJA,踏頻,KADENCE,KADENCE,KADENS,KADENS,CADANS,รอบขา,POLJINNOPEUS,KADANS,,
,KW_RIDE_RECORD_ELEVATION,,海拔,ELEVATION,ALTITUDE,HÖHE,ALTITUD,ALTITUDINE,ALTITUDE,고도,標高,ВЫСОТА,WYSOKOŚĆ,海拔,HØJDE,NADMOŘSKÁ VÝŠKA,HÖJD,HØYDE,HOOGTE,ความสูง,KORKEUS,YÜKSEKLİK,,
,KW_RIDE_RECORD_GRADE,,坡度,GRADE,PENTE,STEIGUNG,PENDIENTE,PENDENZA,INCLINAÇÃO,경사도,勾配,УКЛОН,NACHYLENIE,坡度,STIGNING,SKLON,LUTNING,STIGNING,HELLING,ความชัน,KALTEVUUS,EĞİM,,
,KW_RIDE_RECORD_TEMPERATURE,,温度,Temperature,Température,Temperatur,Temperatura,Temperatura,Temperatura,온도,温度,Температура,Temperatura,溫度,Temperatur,Teplota,Temperatur,Temperatur,Temperatuur,อุณหภูมิ,Lämpötila,Sıcaklık,,
,KW_RIDE_RECORD_LAP_PAGE,,计圈页,Lap Page,Page de tour,Rundenseite,Página de vuelta,Pagina giro,Página de volta,랩 페이지,ラップページ,Страница круга,Strona okrążenia,圈頁面,Omgangsside,Stránka kola,Varvsida,Rundeside,Rondepagina,หน้ารอบ,Kierrossivu,Tur sayfası,,
